Bedrooms,Bathrooms,Furnishing,Area,Price,Locality,Parking,Power,Pool,Security
2,2,0,878.0,10500,HMT Swarnapuri Colony,0,0,0,0
2,2,0,1125.0,7000,Gurram Guda,0,0,0,0
2,2,0,919.0,15000,Kukatpally,0,0,0,0
2,2,0,1000.0,12000,Nizampet,0,0,0,0
2,2,0,563.0,8000,Malkajgiri,0,1,0,0
2,2,0,735.0,20000,Rajendra Nagar,0,1,0,0
1,1,2,360.0,3500000,Manikonda,0,1,0,0
2,2,3,900.0,16000,Somajiguda,0,0,0,0
2,2,2,1000.0,9000,Boduppal,0,1,0,0
2,1,2,480.0,6500,Toli Chowki,0,0,0,0
3,3,1,1050.0,19500,Saidabad,0,0,0,0
2,2,2,536.0,10000,Tondpalle,0,0,0,0
3,2,2,1069.0,21000,IDA Uppal,0,1,0,0
2,2,3,1013.0,40000,Kokapet,0,1,0,0
1,1,0,413.0,8000,Chanda Nagar,0,1,0,0
2,2,2,900.0,14000,Vanasthalipuram,0,1,0,0
2,2,2,675.0,7500,Chengicherla,0,1,0,0
3,3,1,1144.0,15000,Abhyudaya Nagar-Bandlaguda Jagir,0,0,0,0
1,1,1,225.0,6000,Amberpet,0,0,0,0
2,2,2,825.0,12000,Turkapalli-Bolarum,0,0,0,0
1,1,1,413.0,8000,Yella Reddy Guda-Yousufguda,0,0,0,0
3,3,0,1066.0,19000,HMT Officers Colony,0,0,0,0
2,2,0,713.0,10000,Uppal,0,1,0,0
3,3,2,1688.0,34500,Madhapur,0,0,0,0
2,2,0,788.0,17500,Puppalaguda,0,1,0,0
3,3,3,971.0,16000,Nagole,0,0,0,0
3,3,1,880.0,10000,Chintal,0,1,0,0
2,2,2,1100.0,23000,Banjara Hills,0,0,0,0
2,2,2,941.0,18000,Nallagandla,0,1,0,0
2,2,3,746.0,23000,Rajendra Nagar,0,0,0,0
2,2,2,1000.0,13000,Upperpally,1,0,0,0
2,2,2,788.0,12000,Pulimamidi,0,1,0,0
3,2,2,1088.0,18000,Shaikpet,0,1,0,0
3,3,2,1400.0,35000,Banjara Hills,0,1,0,0
2,2,0,135.0,15000,MD Lines,0,1,0,0
2,2,0,825.0,13000,Moula Ali,0,0,0,0
3,4,2,2000.0,45000,Attapur,0,1,0,0
3,2,2,880.0,6000,Ameerpet,0,0,0,0
2,2,2,750.0,11000,King Koti,0,0,0,0
2,2,1,75.0,6000,Chandrayangutta,0,0,0,0
2,2,3,803.0,12500,Miyapur,0,0,0,0
2,2,1,56.0,5499,Kishan Bagh,0,0,0,0
3,3,2,1280.0,35000,Nallagandla,0,0,0,0
3,3,0,1898.0,26000,Kompally,0,0,0,0
1,1,0,139.0,12000,KPHB,0,0,0,0
1,1,0,225.0,6000,MG Nagar,0,1,0,0
2,2,2,800.0,10500,Ameerpet,0,0,0,0
3,2,2,900.0,25000,Gachibowli,0,1,0,0
2,2,3,600.0,7000,Begumpet,0,1,0,0
1,1,0,600.0,6000,Sainikpuri,0,1,0,0
2,2,0,1050.0,18000,Hafeezpet,0,1,0,0
2,2,1,1013.0,16000,Banjara Hills,0,0,0,0
1,1,2,563.0,7000,KPHB,0,1,0,0
2,1,2,1400.0,12000,RTC Colony-Chanda Nagar,0,1,0,0
2,2,0,750.0,13500,Warasiguda,0,0,0,0
3,2,0,2250.0,18000,Athvelly,0,1,0,0
2,2,0,897.0,12000,Miyapur,0,0,0,0
2,2,2,825.0,9000,Miyapur,0,1,0,0
3,3,3,1204.0,20000,Kismatpur,1,0,0,0
2,2,2,731.0,8500,Buddha Nagar,0,1,0,0
3,3,3,1200.0,22000,Habsiguda,0,1,0,0
3,3,0,1500.0,20000,Attapur,0,0,0,0
2,2,0,825.0,18500,Banjara Hills,0,0,0,0
2,2,0,825.0,16500,Lakdikapul,0,1,0,0
1,1,3,690.0,9000,R.C Puram,0,0,0,0
2,2,0,825.0,16000,Alkapur Township,0,0,0,0
3,2,0,1080.0,12000,Kothapet,0,1,0,0
1,1,0,326.0,7600,AC Guards,0,1,0,0
3,3,3,2250.0,75000,Nanakramguda,0,1,0,0
3,2,2,1166.0,26000,Miyapur,0,1,0,0
3,3,1,1120.0,14500,Kukatpally,0,0,0,0
2,1,0,1125.0,16000,KPHB,0,1,0,0
2,2,2,1013.0,25000,Manikonda,0,0,0,0
3,3,2,1613.0,40000,Nallagandla,0,0,0,0
2,2,0,938.0,19999,Manikonda,0,1,0,0
3,3,2,1395.0,34000,Nallagandla,0,1,0,0
1,1,0,1350.0,6000,Vanasthalipuram,0,1,0,0
2,2,0,790.0,12000,Thumkunta,0,1,0,0
2,2,0,788.0,8500,Malkajgiri,0,1,0,0
2,2,0,450.0,10000,Kukatpally,0,1,0,0
3,2,0,1296.0,32000,Manikonda,0,1,0,0
2,2,0,943.0,10000,Shamshabad,0,1,0,0
3,2,3,975.0,45000,Banjara Hills,0,1,0,0
3,3,2,1227.0,25000,Gachibowli,0,0,0,0
3,3,2,1244.0,30000,Kukatpally,1,0,0,0
1,1,2,583.0,6500,Beeramguda,0,1,0,0
1,1,0,0.0,1000,Chandrayangutta,0,1,0,0
2,1,0,900.0,15000,Moosapet,0,1,0,0
1,1,1,450.0,10000,Dilsukhnagar,0,0,0,0
2,2,1,720.0,16500,Gudimalkapur,0,1,0,0
1,1,0,1875.0,9000,Rama Rao Nagar,0,1,0,0
2,2,0,900.0,10000,APHB Colony-Moula Ali,0,1,0,0
2,2,2,800.0,9000,Moula Ali,0,0,0,0
1,1,0,365.0,9500,Chanda Nagar,0,1,0,0
2,2,0,600.0,9000,Pragathi Nagar-Kukatpally,0,1,0,0
2,2,0,863.0,11000,Pragathi Nagar Road,0,1,0,0
2,2,2,825.0,9000,Madhapur,0,0,0,0
3,3,2,1488.0,51500,Narsingi,0,0,0,0
3,3,2,2100.0,60000,Kokapet,0,1,0,0
2,2,0,825.0,9000,Bowenpally,0,1,0,0
2,2,0,0.0,1000,Miyapur,0,1,0,0
2,2,0,807.0,15000,Pragathi Nagar-Kukatpally,0,1,0,0
1,1,0,650.0,7500,Mehdipatnam,0,0,0,0
2,2,0,900.0,11000,Alwal,0,0,0,0
2,2,0,1080.0,13000,Upparpalli,0,0,0,0
2,2,2,1125.0,15000,Nizampet Road,0,1,0,0
1,1,2,413.0,5000,Rampally,0,1,0,0
3,3,0,1080.0,15000,Alkapuri Colony,0,0,0,0
1,1,0,550.0,6000,Karmanghat,0,0,0,0
1,1,1,750.0,6000,Chengicherla,0,0,0,0
2,2,0,758.0,10500,Madinaguda,0,0,0,0
1,1,0,50.0,5000,Sainikpuri,0,0,0,0
2,1,0,1125.0,17000,Allwyn Colony,0,0,0,0
2,2,1,131.0,25000,Rajendra Nagar,0,0,0,0
2,2,2,855.0,15000,Nizampet Road,0,0,0,0
3,3,0,1700.0,20000,Sainikpuri,0,0,0,0
2,2,0,900.0,15000,Moula Ali,0,0,0,0
2,2,2,750.0,15000,Kukatpally,0,0,0,0
2,2,0,900.0,10000,APHB Colony-Moula Ali,0,0,0,0
2,2,0,1125.0,9500,Medchal,0,1,0,0
2,2,2,675.0,12000,Madinaguda,0,1,0,0
2,2,0,750.0,11000,Tolichowki,0,0,0,0
1,1,1,338.0,6500,Gajularamaram,0,0,0,0
2,2,1,668.0,10000,Ameenpur,0,0,0,0
1,1,0,1875.0,9000,Rama Rao Nagar,0,0,0,0
3,3,2,1050.0,28500,Lakdi ka pul,0,0,0,0
2,2,1,825.0,12500,Bachupally,0,0,0,0
2,2,0,900.0,14000,Chanda Nagar,0,1,0,0
1,1,2,600.0,13000,Erragadda,0,0,0,0
2,2,3,675.0,6500,Aditya Nagar-Gurram Guda,0,0,0,0
2,2,0,731.0,8500,Buddha Nagar,0,1,0,0
2,2,2,900.0,14500,Chanda Nagar,0,0,0,0
1,1,1,675.0,9000,Moti Nagar,0,0,0,0
2,2,1,750.0,12000,Appa Junction,0,0,0,0
2,1,0,1485.0,28000,Kondapur,0,0,0,0
2,2,2,713.0,15000,Kushaiguda,0,0,0,0
4,4,2,1519.0,20000,Bachupally,0,1,0,0
3,3,0,1151.0,25000,Malkajgiri,0,0,0,0
2,2,0,1125.0,12000,Dammaiguda,0,1,0,0
2,2,2,975.0,10000,Attapur,0,1,0,0
2,2,0,683.0,7800,Bandlaguda Jagir,0,1,0,0
2,2,0,750.0,13000,Alkapur Township,0,0,0,0
2,2,0,675.0,12000,Tarnaka,0,1,0,0
3,2,3,0.0,1000,Badangpet,0,1,0,0
3,3,3,1450.0,37000,Kukatpally,0,0,0,0
2,2,2,750.0,15000,Madinaguda,0,0,0,0
2,2,1,975.0,9000,Medipalli,0,0,0,0
3,3,0,1459.0,42000,Kokapet,0,1,0,0
1,1,3,488.0,10000,Chanda Nagar,0,0,0,0
2,2,2,581.0,13500,Sanath Nagar,0,0,0,0
2,2,0,825.0,9000,Uppal,0,1,0,0
2,1,2,900.0,12500,Old Bowenpally,0,1,0,0
2,2,0,0.0,1000,Kukatpally,0,1,0,0
3,2,2,1200.0,22000,Serilingampally,0,0,0,0
2,2,1,1000.0,9000,Beeramguda,0,0,0,0
2,2,1,980.0,7500,Beeramguda,0,0,0,0
2,2,1,760.0,16000,Ram Nagar,0,0,0,0
3,3,0,1125.0,27000,Leelanagar,0,0,0,0
2,2,0,1050.0,10500,Boduppal,0,0,0,0
3,2,0,1264.0,25000,Puppalaguda,0,1,0,0
3,2,2,800.0,15000,Farooq Nagar,0,0,0,0
3,3,2,0.0,1000,Himayat Nagar,0,0,0,0
2,2,0,690.0,9000,Isnapur,0,0,0,0
2,2,0,693.0,10000,Secunderabad,0,0,0,0
3,2,2,2000.0,15500,Miyapur,0,1,0,0
2,2,2,750.0,12000,Maheshwaram,0,1,0,0
2,2,2,901.0,19000,Puppalaguda,1,0,0,0
3,3,0,1264.0,25000,Puppalaguda,0,0,0,0
3,3,0,1275.0,22000,Kondapur,0,1,0,0
3,3,0,1223.0,22000,Kondapur,0,1,0,0
2,2,0,638.0,10000,Athvelly,0,1,0,0
2,2,3,944.0,28000,Kukatpally,0,0,0,0
3,3,0,1018.0,18000,Kismatpur,0,0,0,0
2,2,2,1000.0,12000,Malkajgiri,0,1,0,0
